product_line,total,sales_status
"Fashion accessories",142.95,Bad
"Fashion accessories",293.64,Bad
"Food and beverages",180.62,Bad
"Health and beauty",57.70,Bad
"Health and beauty",258.68,Bad
"Electronic accessories",116.91,Bad
"Food and beverages",69.99,Bad
"Fashion accessories",156.03,Bad
"Fashion accessories",652.26,Good
"Food and beverages",323.06,Good
"Health and beauty",269.93,Bad
"Electronic accessories",326.42,Good
"Home and lifestyle",458.69,Good
"Fashion accessories",239.59,Bad
"Home and lifestyle",19.19,Bad
"Sports and travel",580.42,Good
"Home and lifestyle",745.84,Good
"Home and lifestyle",351.10,Good
"Electronic accessories",295.41,Bad
"Home and lifestyle",887.92,Good
"Electronic accessories",182.91,Bad
"Fashion accessories",55.00,Bad
"Home and lifestyle",148.97,Bad
"Health and beauty",244.23,Bad
"Home and lifestyle",479.64,Good
"Electronic accessories",343.22,Good
"Electronic accessories",477.54,Good
"Electronic accessories",317.84,Bad
"Sports and travel",341.09,Good
"Food and beverages",523.85,Good
"Sports and travel",127.83,Bad
"Sports and travel",146.63,Bad
"Home and lifestyle",759.68,Good
"Electronic accessories",942.45,Good
"Fashion accessories",69.09,Bad
"Fashion accessories",110.12,Bad
"Health and beauty",288.20,Bad
"Sports and travel",53.15,Bad
"Home and lifestyle",261.20,Bad
"Home and lifestyle",319.79,Bad
"Food and beverages",570.78,Good
"Sports and travel",926.95,Good
"Food and beverages",620.74,Good
"Sports and travel",462.21,Good
"Health and beauty",749.49,Good
"Food and beverages",822.26,Good
"Home and lifestyle",133.35,Bad
"Electronic accessories",171.73,Bad
"Fashion accessories",208.69,Bad
"Electronic accessories",714.33,Good
"Food and beverages",284.59,Bad
"Fashion accessories",343.06,Good
"Electronic accessories",180.60,Bad
"Electronic accessories",379.92,Good
"Home and lifestyle",430.71,Good
"Sports and travel",77.18,Bad
"Health and beauty",655.55,Good
"Fashion accessories",49.81,Bad
"Home and lifestyle",26.73,Bad
"Health and beauty",70.29,Bad
"Electronic accessories",461.53,Good
"Sports and travel",26.80,Bad
"Food and beverages",74.76,Bad
"Electronic accessories",478.23,Good
"Sports and travel",125.98,Bad
"Food and beverages",810.60,Good
"Home and lifestyle",334.34,Good
"Fashion accessories",77.81,Bad
"Food and beverages",439.90,Good
"Food and beverages",688.72,Good
"Fashion accessories",312.89,Bad
"Food and beverages",304.54,Bad
"Health and beauty",120.16,Bad
"Health and beauty",91.77,Bad
"Fashion accessories",172.01,Bad
"Health and beauty",235.21,Bad
"Home and lifestyle",90.58,Bad
"Fashion accessories",649.30,Good
"Electronic accessories",709.32,Good
"Sports and travel",162.75,Bad
"Health and beauty",435.12,Good
"Fashion accessories",874.13,Good
"Sports and travel",271.28,Bad
"Health and beauty",318.11,Bad
"Home and lifestyle",26.55,Bad
"Home and lifestyle",167.90,Bad
"Fashion accessories",525.23,Good
"Electronic accessories",240.98,Bad
"Sports and travel",32.53,Bad
"Electronic accessories",176.93,Bad
"Sports and travel",82.89,Bad
"Fashion accessories",1042.65,Good
"Electronic accessories",860.69,Good
"Food and beverages",529.52,Good
"Sports and travel",23.50,Bad
"Food and beverages",568.51,Good
"Sports and travel",257.15,Bad
"Food and beverages",84.75,Bad
"Food and beverages",166.16,Bad
"Electronic accessories",256.41,Bad
"Electronic accessories",554.30,Good
"Food and beverages",936.60,Good
"Home and lifestyle",165.90,Bad
"Electronic accessories",657.53,Good
"Food and beverages",523.37,Good
"Home and lifestyle",208.09,Bad
"Health and beauty",403.87,Good
"Sports and travel",169.31,Bad
"Health and beauty",624.90,Good
"Food and beverages",74.71,Bad
"Electronic accessories",78.44,Bad
"Fashion accessories",494.18,Good
"Food and beverages",182.43,Bad
"Sports and travel",161.55,Bad
"Health and beauty",565.22,Good
"Sports and travel",98.05,Bad
"Health and beauty",271.95,Bad
"Health and beauty",166.64,Bad
"Sports and travel",572.78,Good
"Sports and travel",236.88,Bad
"Sports and travel",807.66,Good
"Fashion accessories",68.24,Bad
"Sports and travel",282.49,Bad
"Sports and travel",30.22,Bad
"Fashion accessories",104.83,Bad
"Electronic accessories",771.44,Good
"Health and beauty",83.73,Bad
"Fashion accessories",54.97,Bad
"Food and beverages",296.94,Bad
"Home and lifestyle",72.01,Bad
"Electronic accessories",603.88,Good
"Sports and travel",611.08,Good
"Electronic accessories",247.87,Bad
"Food and beverages",374.39,Good
"Electronic accessories",470.67,Good
"Sports and travel",217.63,Bad
"Home and lifestyle",148.68,Bad
"Food and beverages",362.71,Good
"Fashion accessories",345.02,Good
"Food and beverages",56.95,Bad
"Fashion accessories",22.39,Bad
"Fashion accessories",721.98,Good
